,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
0,4,관광특구,1001496,강남 마이스 관광특구,112658,55901,56757,8418,23312,31050,25243,14171,10465,6927,21425,26597,27297,24047,6364,15275,17149,17951,18478,18144,13757,11903
1,4,관광특구,1001495,잠실 관광특구,3632727,1757144,1875581,420460,782581,868287,604063,446690,510646,609917,661280,560811,591956,790967,417796,498146,511833,518698,520540,535444,549320,498745
2,4,관광특구,1001494,종로?청계 관광특구,3957665,2127522,1830142,153739,683891,754661,740487,714745,910141,454100,764869,816677,826502,772949,322568,584215,632025,633852,637559,635029,473775,361210
3,4,관광특구,1001493,동대문패션타운 관광특구,3249964,1534697,1715268,159801,553169,792382,652721,508656,583237,713818,656245,486928,464319,527135,401520,503703,522616,525575,525777,483198,339784,349309
4,4,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,4667755,2345370,2322385,228777,839000,1165914,1041428,724056,668582,282967,971749,1115202,1119293,925074,253470,679317,768449,774811,784367,764916,503227,392668
5,4,관광특구,1001491,이태원 관광특구,1932414,970165,962249,125978,477674,475694,322464,237115,293490,386686,344206,267076,289866,391413,253167,254239,250796,255809,261940,286186,333111,290333
6,4,전통시장,2130326,고덕 골목형상점가,147720,68341,79379,29412,13392,23412,27522,20231,33750,36781,32895,17637,17495,24680,18232,21216,21130,21065,21411,21288,20901,20709
7,4,전통시장,2130325,명일전통시장,235226,103286,131940,42483,24487,31586,37835,34976,63858,46849,44457,31730,33199,48589,30402,33171,33181,33559,32384,34548,33996,34387
8,4,전통시장,2130324,길동복조리시장,459772,208444,251329,72778,50427,65855,71189,70730,128794,131738,90775,51528,51448,73557,60725,66246,65632,64805,64810,64266,66298,67717
9,4,전통시장,2130323,둔촌역전통시장,369289,181530,187759,50918,46914,47037,59827,62994,101601,102616,74772,40196,41953,61826,47925,52185,51701,52464,51840,53128,54054,53919
10,4,전통시장,2130322,고분다리전통시장,212109,103050,109061,26827,25428,32328,29958,37399,60168,58376,42621,23815,23903,35526,27870,30134,29403,29259,29066,29318,31580,33349
11,4,전통시장,2130321,장신구 특화거리 상점가,177811,82931,94881,35135,20030,25433,30462,28371,38382,35499,37073,26945,25966,32181,20148,25983,26052,26111,26444,25884,23494,23845
12,4,전통시장,2130320,암사종합시장,124840,60987,63853,12910,14991,20158,22122,22654,32003,25324,22973,16461,18440,26077,15566,17575,17544,17461,17517,17723,18838,18183
