,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구,cluster
0,1001496,79787,55963.0,23527.0,9763.0,10735.0,11410.0,11993.0,12062.0,12540.0,10987.0,297.0,2821.0,30929.0,16403.0,26850.0,2487.0,26384.0,41489.0,833.0,17194.0,24515.0,15467.0,6941.0,2921.0,3265100727,2153278843,1106711169,357351328,379009958,430472397,460056198,526388962,589276333,517434836,5110715.0,21111512.0,1144825037.0,631527550.0,1273604908.0,188921005.0,1114220878,1463366693,28181177.0,607074829.0,878335673.0,647691801.0,291874297.0,124429791.0,36,112658,55901,56757,8418,23312,31050,25243,14171,10465,6927,21425,26597,27297,24047,6364,15275,17149,17951,18478,18144,13757,11903,15904.0,34.0,1.0,8.0,,1.0,,,,,,97471,1876586,904782,1110564,1884407,540901,0
1,1001495,81143,43010.0,38133.0,6072.0,7679.0,8629.0,8732.0,11898.0,20822.0,17311.0,1443.0,1075.0,22491.0,20421.0,28361.0,7352.0,33796.0,42128.0,1095.0,19416.0,21623.0,15684.0,10072.0,8034.0,4175524807,2236840528,1938684279,308399849,396997629,414900099,474312254,642230697,1105666182,833018097,86154973.0,28941889.0,1070037568.0,784866695.0,1648795437.0,556728245.0,1812869414,1855464959,38157569.0,850235779.0,984836455.0,735322590.0,558471038.0,501310941.0,78,3632727,1757144,1875581,420460,782581,868287,604063,446690,510646,609917,661280,560811,591956,790967,417796,498146,511833,518698,520540,535444,549320,498745,24375.0,149.0,3.0,13.0,,,,,,,,14849,231566,119472,146958,226226,79155,3
2,1001494,71551,57902.0,13649.0,9212.0,11762.0,11734.0,12480.0,12714.0,9291.0,4358.0,359.0,814.0,39041.0,8464.0,18526.0,4347.0,33055.0,30510.0,810.0,16963.0,18228.0,12603.0,8971.0,5992.0,2333394066,1786458660,546935406,250736604,356353616,356394205,389830664,433143571,369460547,177474859,23287542.0,5211477.0,898047354.0,222036749.0,868584791.0,316226153.0,921735944,836441044,15718171.0,453673657.0,553860173.0,360778262.0,258674489.0,115472247.0,45,3957665,2127522,1830142,153739,683891,754661,740487,714745,910141,454100,764869,816677,826502,772949,322568,584215,632025,633852,637559,635029,473775,361210,32935.0,243.0,5.0,18.0,,,6.0,,,,,188742,4473529,3784701,4247394,5453726,1487090,3
3,1001493,50373,28531.0,21842.0,5913.0,4678.0,5813.0,5538.0,6589.0,11065.0,10777.0,23.0,491.0,13604.0,12118.0,20806.0,3331.0,28119.0,19391.0,444.0,15605.0,16522.0,7317.0,5671.0,1956.0,2141814573,1179879452,961935121,235166911,185878679,233669158,229745910,295418794,508394233,453540888,1346525.0,14094556.0,545435467.0,477192773.0,935445730.0,168299522.0,1114555975,811927486,16175717.0,518645285.0,615614753.0,369676636.0,303465660.0,102905418.0,45,3249964,1534697,1715268,159801,553169,792382,652721,508656,583237,713818,656245,486928,464319,527135,401520,503703,522616,525575,525777,483198,339784,349309,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,312860,2956891,2130916,2384259,3010817,1066861,3
4,1001492,107511,80540.0,26971.0,12887.0,15706.0,16566.0,16916.0,18465.0,15687.0,11284.0,276.0,908.0,51016.0,14763.0,33953.0,6595.0,38671.0,47078.0,811.0,19215.0,27379.0,19823.0,11901.0,6614.0,7335188527,5416564945,1918623582,866043648,1017358021,1108963409,1130974033,1293225834,1126462842,792160740,110960047.0,39539666.0,2750309366.0,883815542.0,2668722561.0,881841345.0,2452343815,2472505848,36025318.0,932657976.0,1509467790.0,1201990230.0,777260832.0,467447522.0,83,4667755,2345370,2322385,228777,839000,1165914,1041428,724056,668582,282967,971749,1115202,1119293,925074,253470,679317,768449,774811,784367,764916,503227,392668,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,259838,6251116,3028660,3707418,6838800,1808023,2
5,1001491,372185,166381.0,205804.0,29357.0,23688.0,27420.0,31769.0,54147.0,125828.0,79976.0,53914.0,7647.0,43283.0,55930.0,126457.0,84954.0,193183.0,163055.0,4808.0,156651.0,115904.0,40148.0,27383.0,11345.0,16173481278,7932518853,8240962425,1236444029,1144961444,1426690587,1647614650,2476808143,5103341990,3137620435,1816845464.0,156535147.0,1691122131.0,2375781008.0,6005308276.0,4127889252.0,7824852549,6303573420,137871120.0,5465467964.0,4703515848.0,1825785706.0,1238653946.0,757131376.0,221,1932414,970165,962249,125978,477674,475694,322464,237115,293490,386686,344206,267076,289866,391413,253167,254239,250796,255809,261940,286186,333111,290333,5839.0,63.0,5.0,6.0,,,3.0,,,,,97967,696565,473446,637331,1077806,498871,1
6,2130318,88617,52927.0,35690.0,9925.0,8750.0,9537.0,10158.0,14557.0,19113.0,16577.0,5038.0,,17233.0,14740.0,35364.0,16242.0,38059.0,48335.0,3224.0,34988.0,18377.0,14371.0,11948.0,3486.0,4097818299,2378176120,1719642179,405976003,394996994,443528230,465441560,668233333,941427266,778214913,324069508.0,,660533236.0,570896068.0,1564654617.0,977664870.0,1761829324,2151664454,92199286.0,1566562892.0,906467937.0,689173947.0,496171006.0,162918707.0,8,381567,179019,202548,29357,82373,75471,58588,57107,78673,60077,63587,57677,65397,87318,47512,50086,50474,50975,51222,55923,63001,59886,266.0,37.0,1.0,1.0,,,,,,,,76070,450162,273222,335191,489368,211449,0
7,2130312,847,475.0,246.0,128.0,111.0,67.0,33.0,136.0,162.0,84.0,67.0,126.0,118.0,67.0,255.0,214.0,407.0,229.0,,76.0,263.0,101.0,126.0,67.0,58345816,27760661,20557898,6686887,8289571,3912684,945346,7926173,13249252,7308646,1906789.0,10027257.0,7927866.0,5471320.0,21778547.0,11234037.0,24029252,16231837,,4064313.0,15359340.0,8905401.0,7485688.0,4446347.0,2,330670,158705,171965,56946,38251,65977,58384,45694,65417,66026,62709,45929,47776,66649,41579,46928,46708,47250,47201,47469,48324,46786,619.0,9.0,,,,,,,,,,82734,1016617,494866,605682,921519,338368,5
8,2130311,942,647.0,282.0,186.0,90.0,101.0,138.0,132.0,158.0,124.0,,32.0,190.0,255.0,452.0,13.0,449.0,480.0,15.0,180.0,209.0,284.0,174.0,67.0,12117836,8440351,3559649,2568663,1043707,1326715,1789715,1711551,2075653,1483996,,418981.0,2426413.0,3388806.0,5765800.0,117836.0,5829377,6170623,157784.0,2190199.0,2697108.0,3807683.0,2150825.0,996401.0,5,874348,411780,462568,147333,135019,155051,152428,120792,163723,205645,161387,103740,113468,173337,116772,121896,122300,122189,122267,126214,134924,124558,377.0,17.0,,2.0,,,,,,,,94533,1450397,817635,995644,1613087,648871,5
9,2130310,3397,2685.0,707.0,547.0,539.0,617.0,526.0,456.0,707.0,707.0,,,1164.0,695.0,1533.0,5.0,1575.0,1694.0,228.0,617.0,488.0,859.0,836.0,242.0,44163314,33631322,10417827,6658588,6904271,7718042,6114703,6235718,10417827,10417827,,,15810091.0,8860611.0,19378447.0,114165.0,21104630,20367577,2280112.0,6422950.0,7317093.0,12238081.0,10022359.0,3191609.0,2,211859,95107,116752,48064,22368,22914,36559,32639,49312,25412,42559,37800,41098,46461,18531,29824,30279,30862,30706,31362,30257,28566,298.0,30.0,,3.0,,,,,,,,17411,415944,203793,280706,363368,143706,5
