,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수, 상권구분코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,관광특구,1001495,잠실 관광특구,18272,12264,6008,2264,2393,2283,2209,3115,3116,2892,3957.0,,241.0,856,5846,7372,10712,6435,180.0,5100.0,4902.0,3174.0,2432.0,1360.0,769845198,517076052,252769146,92708890,98958156,92175382,99535035,133698589,130078780,122690366,199117709.0,,5513295.0,29122545,219045528,317046121,461425009,249778148,5988333.0,213005273.0,208391102.0,139146031.0,91565239.0,53107178.0,13.0,관광특구,3462257,1669214,1793043.0,386966.0,763874.0,832217.0,569446.0,424261.0,485492.0,586315.0,639204,526430,554049,752595.0,403665.0,484642.0,493251.0,503128.0,504169.0,509741.0,503826.0,463502.0,24375.0,149.0,3.0,13.0,,,,,,,,13762,223462,105061,125835,215851,78465
1,관광특구,1001494,종로?청계 관광특구,63120,46006,17114,7109,8499,8924,9433,12041,9933,7181,5734.0,1684.0,5060.0,4530,24827,21285,35150,21467,433.0,15054.0,16439.0,10811.0,8429.0,5455.0,2595917686,1957658184,638259502,303628062,359795512,378362770,401074610,514797230,386048813,252210689,230040389.0,66170416.0,189568735.0,158833278,997225556,954079312,1399341846,790413801,11882121.0,574840131.0,692086818.0,446682035.0,293690947.0,170573594.0,29.0,관광특구,3847828,2058936,1788892.0,156328.0,693404.0,724426.0,704612.0,685375.0,883685.0,444350.0,763158,789190,792496,745864.0,312772.0,569367.0,613810.0,625220.0,631340.0,612665.0,446058.0,349369.0,32935.0,243.0,5.0,18.0,,,6.0,,,,,178222,4322590,3460719,3714242,4978188,1350373
2,관광특구,1001493,동대문패션타운 관광특구,4013,2904,1109,553,540,618,603,590,615,494,350.0,,232.0,236,1327,1868,2428,1353,38.0,1041.0,877.0,725.0,628.0,472.0,150686265,107422995,43263270,20572750,19646003,23827590,20733865,22642787,21299923,21963347,16197805.0,,3985174.0,7711132,48913324,73878830,97074608,41867300,1184383.0,29846763.0,34032249.0,27409400.0,28509486.0,17959627.0,11.0,관광특구,3028657,1419622,1609037.0,154373.0,521012.0,726519.0,607132.0,475170.0,544452.0,648852.0,616758,457079,437709,496812.0,371449.0,461027.0,492909.0,500811.0,493398.0,444803.0,315138.0,320572.0,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,287218,2851171,1978510,2164517,2812363,999309
3,관광특구,1001492,명동 남대문 북창동 다동 무교동 관광특구,34979,29187,5792,4500,5619,6040,6388,6640,3728,2064,1640.0,,1093.0,1041,13127,18078,17713,11147,195.0,6488.0,8056.0,7208.0,5050.0,1866.0,1746393548,1480572903,265820645,214231555,274496800,322539975,335555279,333749294,175433715,90386930,86419343.0,,41272038.0,46045853,620855190,951801124,868021727,473731455,9355363.0,271431398.0,376117485.0,361941270.0,242543768.0,80363899.0,20.0,관광특구,4367217,2224106,2143112.0,197079.0,803497.0,1099102.0,976313.0,679434.0,611795.0,296674.0,964673,1043639,1021464,802848.0,237920.0,659203.0,731186.0,747350.0,748228.0,708085.0,426622.0,346542.0,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,236385,5884842,2642608,3097027,5965200,1495243
4,관광특구,1001491,이태원 관광특구,9826,4439,5387,808,485,501,815,1830,3014,2373,3049.0,134.0,,74,2352,4217,6221,3546,15.0,4407.0,3232.0,795.0,964.0,350.0,483594500,214479714,269114786,44051034,19921162,21848110,33977297,94682111,141954018,127160768,153173211.0,7465738.0,,2148486,98502292,222304773,318077611,162895377,620541.0,241630616.0,150410459.0,34680540.0,42055005.0,11575828.0,4.0,관광특구,2108170,1048246,1059925.0,132557.0,608541.0,516877.0,322141.0,231047.0,297007.0,469819.0,349035,264136,289409,429441.0,306329.0,269641.0,261196.0,270391.0,278963.0,313242.0,371886.0,342851.0,5839.0,63.0,5.0,6.0,,,3.0,,,,,148029,698756,478057,621719,1125521,611127
5,전통시장,2130326,고덕 골목형상점가,3075,2020,1055,103,393,475,415,634,508,547,,,,283,1959,833,1869,1117,16.0,244.0,579.0,989.0,709.0,449.0,77967258,52795148,25172110,2387822,12470201,12569182,10388934,14979009,12078583,13093527,,,,6657763,48598748,22710747,46305746,28987140,441213.0,5517107.0,14579668.0,25007439.0,18359614.0,11387846.0,2.0,전통시장,140332,64196,76136.0,26379.0,13049.0,22850.0,25679.0,19787.0,32587.0,33586.0,30929,16979,16926,24248.0,17663.0,19967.0,20241.0,20307.0,20391.0,20302.0,19747.0,19376.0,935.0,11.0,,,,,,,,,,91130,1211862,442720,502951,933081,312779
6,전통시장,2130324,길동복조리시장,9680,6208,3472,1238,1283,852,969,1866,2063,1409,261.0,,315.0,987,6206,1911,5117,4563,55.0,925.0,1666.0,2728.0,2253.0,2053.0,128095559,79893037,48202522,16205974,16294796,10311425,12484422,24596420,28843816,19358706,3822037.0,,4242820.0,13755744,82939989,23334969,67153220,60942339,789600.0,10775259.0,20838062.0,37123209.0,32259313.0,26310116.0,3.0,전통시장,486493,223362,263130.0,79013.0,55345.0,68549.0,73520.0,75217.0,134850.0,141612.0,98548,54302,53514,76496.0,62020.0,69410.0,68984.0,68816.0,68359.0,68891.0,70865.0,71171.0,154.0,5.0,,,,,,,,,,44035,588665,317851,359161,545931,184284
7,전통시장,2130322,고분다리전통시장,1849,1347,502,186,222,269,239,431,222,280,18.0,45.0,256.0,244,913,373,1115,683,19.0,177.0,358.0,410.0,479.0,354.0,37999066,29215039,8784027,2616834,2907253,4369832,6608577,12712543,4027969,4756058,214079.0,8861745.0,4566462.0,3815608,15453096,5088076,17023599,11733450,307583.0,2361658.0,5186403.0,6974192.0,8633675.0,5293538.0,7.0,전통시장,254824,125456,129369.0,32889.0,32452.0,40365.0,35291.0,44157.0,69671.0,73172.0,52250,28375,28067,40849.0,32112.0,35995.0,35377.0,35096.0,35142.0,34931.0,37960.0,40325.0,8.0,9.0,,,,,,,,,,8051,107533,52868,62307,94443,39790
8,전통시장,2130320,암사종합시장,3614,2377,1237,487,540,245,474,631,663,574,207.0,,182.0,465,1946,814,2459,1142,19.0,434.0,578.0,807.0,1166.0,596.0,55187767,35342511,19845256,7531821,7928369,4084582,6603220,9194519,9566584,10278672,3409996.0,,2236763.0,6893779,29191825,13455404,39653137,15169563,215965.0,5677511.0,8333764.0,11771933.0,18675429.0,10148100.0,5.0,전통시장,127787,62156,65631.0,13462.0,15504.0,21348.0,21758.0,22610.0,33105.0,25032.0,23949,17386,18989,26740.0,15690.0,18023.0,18174.0,17929.0,18112.0,18383.0,18920.0,18246.0,173.0,12.0,,,,,,,,,,87290,1376519,506871,577273,1069405,354369
9,전통시장,2130319,성내전통시장,6029,4188,1841,741,924,694,608,1221,1118,723,,300.0,684.0,1111,3276,658,3025,2945,22.0,417.0,843.0,1049.0,1419.0,2220.0,101001654,71450072,29551582,11961321,15184053,12584888,11639919,20079891,18888955,10662627,,5660285.0,13533671.0,19147058,53307342,9353298,49377932,50238772,453474.0,6113184.0,13150333.0,16605150.0,25383829.0,37910733.0,5.0,전통시장,710911,346382,364528.0,114675.0,76664.0,111565.0,110186.0,116078.0,181744.0,192752.0,139952,78308,83414,123900.0,92588.0,100183.0,97907.0,97560.0,96828.0,97702.0,107095.0,113635.0,34.0,5.0,,,,,,,,,,115042,1373463,627275,733690,1265645,449710
