,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,1001495,120525,72327,48198,13871,12590,13983,13847,18036,28038,20160,38854.0,1946.0,340.0,688.0,23855,54842,65106,52623,2337.0,58903.0,31914.0,12370.0,9236.0,2968.0,6259329450,3804120772,2455208678,678858762,664808178,735005647,733834998,991613187,1439194965,1016013713,2068561932.0,86294467.0,11971033.0,27222011.0,1125314111,2939965896,3445519140,2478501354,108364586.0,2799803807.0,1659874595.0,673670151.0,493257645.0,189049710.0,53.0,3632727,1757144,1875581,420460,782581,868287,604063,446690,510646,609917,661280,560811,591956,790967,417796,498146,511833,518698,520540,535444,549320,498745,24375.0,149.0,3.0,13.0,,,,,,,,14849,231566,119472,146958,226226,79155
1,1001494,125660,87638,38022,13234,16287,17265,18091,22761,26014,12008,17546.0,358.0,2100.0,2698.0,34588,68370,75017,38104,554.0,36189.0,33131.0,18281.0,15706.0,9261.0,7031312800,4936895001,2094417799,709125524,940809928,958564243,1049559304,1278836002,1483053978,611363821,981662179.0,24134266.0,44174293.0,93032303.0,1848430508,4039879251,4043160776,1942526194,30352480.0,1909401157.0,1868916564.0,978035547.0,783549344.0,415431872.0,82.0,3957665,2127522,1830142,153739,683891,754661,740487,714745,910141,454100,764869,816677,826502,772949,322568,584215,632025,633852,637559,635029,473775,361210,32935.0,243.0,5.0,18.0,,,6.0,,,,,188742,4473529,3784701,4247394,5453726,1487090
2,1001493,31791,23059,8732,4183,4528,4802,4612,4934,4940,3792,5088.0,1703.0,6276.0,2513.0,8141,8070,17809,11773,311.0,8803.0,9095.0,5182.0,4064.0,2123.0,1026380263,723394242,302986021,124024911,136965203,151167590,145754082,165482456,175956655,127029366,186846091.0,43249643.0,127495367.0,55478048.0,262097598,351213516,576329690,375208347,9415101.0,283685251.0,290515810.0,169647528.0,128360024.0,69914325.0,21.0,3249964,1534697,1715268,159801,553169,792382,652721,508656,583237,713818,656245,486928,464319,527135,401520,503703,522616,525575,525777,483198,339784,349309,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,312860,2956891,2130916,2384259,3010817,1066861
3,1001492,131920,113505,18415,17084,23699,23683,25192,23847,12030,6385,5953.0,309.0,35253.0,3908.0,29100,57397,69965,37088,570.0,23319.0,29888.0,25206.0,19182.0,8891.0,7261769762,6145442935,1116326827,896109124,1291788472,1298022281,1354983628,1304539430,791932230,324394597,488226696.0,4960046.0,715019537.0,173534636.0,1948064553,3931964294,3350024513,1628248277,19991528.0,969268284.0,1324443668.0,1280600689.0,905647477.0,478321137.0,61.0,4667755,2345370,2322385,228777,839000,1165914,1041428,724056,668582,282967,971749,1115202,1119293,925074,253470,679317,768449,774811,784367,764916,503227,392668,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,259838,6251116,3028660,3707418,6838800,1808023
4,1001491,139807,36947,102860,10534,3860,3896,5592,13065,51410,51450,86428.0,2437.0,1749.0,2250.0,12189,34754,104419,34883,840.0,59362.0,61096.0,10275.0,5920.0,1807.0,5061467806,1396699351,3664768455,360622510,156152380,185082286,206791285,488050890,1862987943,1801780512,3125212001.0,75239544.0,22952936.0,33762720.0,451747122,1352553483,3692843342,1313276244,25888932.0,2111502700.0,2168408423.0,397875382.0,233881125.0,68563020.0,66.0,1932414,970165,962249,125978,477674,475694,322464,237115,293490,386686,344206,267076,289866,391413,253167,254239,250796,255809,261940,286186,333111,290333,5839.0,63.0,5.0,6.0,,,3.0,,,,,97967,696565,473446,637331,1077806,498871
5,2130326,3036,1919,1117,388,400,311,361,459,682,435,737.0,,,15.0,698,1586,1946,1046,16.0,498.0,801.0,968.0,474.0,234.0,125012666,77135243,47877423,15186919,17274268,12092752,15219678,17361626,27817477,20059946,34226396.0,,,480478.0,27495886,62809906,81970369,40143597,935708.0,21192561.0,30897651.0,38440325.0,20394462.0,10253259.0,2.0,147720,68341,79379,29412,13392,23412,27522,20231,33750,36781,32895,17637,17495,24680,18232,21216,21130,21065,21411,21288,20901,20709,935.0,11.0,,,,,,,,,,93697,1199645,451428,532729,958578,328561
6,2130323,810,707,103,168,205,104,95,135,58,45,29.0,,62.0,36.0,417,266,726,36,,11.0,44.0,100.0,294.0,314.0,39036444,33075364,5961080,10644462,9807484,3033898,3349159,6240361,3852653,2108427,2173310.0,,3096059.0,1564675.0,18838745,13363655,31996146,1089594,,573345.0,2164656.0,5431393.0,12945740.0,11970606.0,4.0,369289,181530,187759,50918,46914,47037,59827,62994,101601,102616,74772,40196,41953,61826,47925,52185,51701,52464,51840,53128,54054,53919,171.0,6.0,,,,,,,,,,36953,706452,352812,427903,685947,226860
7,2130322,2980,2006,974,402,308,416,401,479,459,515,746.0,13.0,13.0,134.0,647,1427,1976,961,6.0,330.0,630.0,550.0,680.0,738.0,114942599,77712203,37230396,18519717,11493389,12764711,16972513,17961873,19232477,17997919,29987041.0,288803.0,155759.0,5852729.0,26368148,52290119,74089119,37745038,434204.0,12693956.0,29558195.0,18280082.0,28997596.0,21870122.0,5.0,212109,103050,109061,26827,25428,32328,29958,37399,60168,58376,42621,23815,23903,35526,27870,30134,29403,29259,29066,29318,31580,33349,8.0,9.0,,,,,,,,,,7853,123930,59641,70452,107590,46202
8,2130320,281,155,126,21,37,32,27,38,79,47,47.0,,,,32,202,126,151,,31.0,114.0,94.0,32.0,5.0,14019257,8119487,5899770,1263857,3053437,1181548,923996,1696649,3353470,2546300,3725193.0,,,,1253237,9040827,7055621,6793705,,1440844.0,6487277.0,4940614.0,858454.0,122137.0,3.0,124840,60987,63853,12910,14991,20158,22122,22654,32003,25324,22973,16461,18440,26077,15566,17575,17544,17461,17517,17723,18838,18183,173.0,12.0,,,,,,,,,,90578,1431178,528884,622547,1116381,379091
9,2130319,4186,1917,2269,406,265,252,321,673,1374,895,,14.0,323.0,407.0,2743,699,2567,1605,,267.0,619.0,1181.0,1095.0,1009.0,104693749,50917419,53776330,9294927,10952695,5947512,9782057,14940228,36721059,17055271,,1963801.0,7097738.0,7644797.0,65065738,22921675,68330833,34146626,,9845046.0,10592557.0,25243870.0,29927221.0,26868766.0,2.0,731436,353713,377723,120134,80130,115257,114166,114227,187521,198720,143026,78399,85147,129722,96425,102902,98342,99387,98667,99520,113627,118992,34.0,5.0,,,,,,,,,,104006,1357947,622524,733475,1234352,437056
