,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
0,1001496,78059,57233.0,20826.0,10053.0,10275.0,12160.0,12348.0,12397.0,11239.0,9587.0,,3361.0,32003.0,13868.0,26494.0,2333.0,25495.0,40749.0,612.0,17491.0,25021.0,13536.0,6584.0,2998.0,2860593323,1964904589,895688734,320239454,344086532,414050908,436302957,450224738,485884699,409804035,,21638191.0,1094063968.0,480448415.0,1121949830.0,142492919.0,960204460,1306357078,17276849.0,554755981.0,810806282.0,509412763.0,260005735.0,114303927.0,35,106859,53586,53273,7510,22268,29894,23907,13306,9974,6498,20657,25172,25635,22596,6302,15012,16326,16915,17593,17247,12963,10805,15904.0,34.0,1.0,8.0,,1.0,,,,,,99764,1876381,954887,1156623,1913184,554530
1,1001495,91382,49855.0,41527.0,8739.0,9057.0,9798.0,9775.0,12486.0,22596.0,18931.0,1117.0,958.0,26558.0,24348.0,32015.0,6386.0,37232.0,50022.0,1099.0,24054.0,27472.0,16638.0,9894.0,8096.0,3554454905,1926502029,1627952876,312166336,344295241,377651835,405517916,486870701,890029346,737923530,75566352.0,24488729.0,905237272.0,737450997.0,1431039700.0,380671855.0,1497957043,1778085257,26917473.0,840012365.0,1024259848.0,670355637.0,400086693.0,314410293.0,73,3561819,1712126,1849694,387394,790978,848876,584508,440663,509399,595362,654385,544682,575567,779833,411990,493641,502218,505695,505711,525509,538563,490482,24375.0,149.0,3.0,13.0,,,,,,,,16503,249902,130116,152988,236040,88208
2,1001494,73567,58480.0,15087.0,11032.0,11648.0,11762.0,11410.0,12628.0,8987.0,6100.0,226.0,845.0,38342.0,10212.0,18492.0,5450.0,33087.0,32985.0,568.0,18058.0,20175.0,14110.0,8654.0,4505.0,2244437128,1674611123,569826005,277674312,332724968,355142013,329454288,379615542,349471854,220354151,22472549.0,36153899.0,852117344.0,246690999.0,703940193.0,383062144.0,902590371,827323982,9022799.0,441949519.0,613585112.0,351732490.0,217007943.0,96616488.0,40,4041501,2175790,1865710,144719,694844,752217,747809,739083,962830,461846,796050,830509,832729,788949,331417,612470,647447,635503,634828,649044,491187,371020,32935.0,243.0,5.0,18.0,,,6.0,,,,,198112,4643181,3891391,4189672,5590180,1620131
3,1001493,54688,30446.0,24242.0,5651.0,5623.0,6452.0,5811.0,6909.0,13082.0,11160.0,54.0,632.0,14372.0,14145.0,21706.0,3779.0,29357.0,23475.0,424.0,17066.0,19028.0,7905.0,5866.0,2540.0,2195372659,1290340609,905032050,292557233,263680190,241737972,223088461,269276753,480327833,424704217,4833801.0,30610499.0,633427860.0,485267326.0,855042735.0,186190438.0,1039553150,841445968,12444683.0,525511049.0,620000887.0,361800562.0,252489226.0,108752713.0,44,3242889,1525455,1717434,162824,557728,783657,665252,505098,568330,708734,660722,488636,463436,521016,400344,505390,523329,517519,516023,487773,346944,345911,6054.0,149.0,3.0,12.0,,,3.0,17.0,,,,350233,3072614,2197061,2420575,3131632,1194588
4,1001492,93857,71930.0,21927.0,13002.0,13906.0,14089.0,14916.0,16017.0,12050.0,9877.0,91.0,410.0,49275.0,12747.0,28049.0,3285.0,33715.0,41056.0,286.0,16292.0,25910.0,17163.0,9621.0,5498.0,5824221360,4299296903,1524924457,738723436,789424293,848839353,918130222,1004179599,859061234,665863223,8423170.0,19402905.0,2575875062.0,759777222.0,2045902946.0,414840055.0,1892486566,2030034351,12556176.0,706647301.0,1339107422.0,953047062.0,577319537.0,333843425.0,83,4382710,2227935,2154774,168316,787473,1109970,980707,689754,646489,283650,954286,1062169,1036994,809109,236500,679265,736783,709949,714472,725461,457803,358978,104830.0,426.0,14.0,57.0,1.0,1.0,2.0,,,,,264411,6440641,3046134,3555301,6652916,1819438
5,1001491,520781,245913.0,274868.0,35409.0,35523.0,42843.0,48442.0,83696.0,164675.0,110193.0,80635.0,9831.0,50969.0,59545.0,174130.0,145671.0,270876.0,232483.0,4609.0,216162.0,183218.0,52205.0,33439.0,13721.0,21870536013,11105788633,10764747380,1542619546,1757229864,2039089469,2212063610,3554786144,6451695567,4313051813,2304667087.0,212672433.0,2129895755.0,2882993668.0,8108478033.0,6231829037.0,10754819807,9090967180,122412209.0,7498361270.0,7401045743.0,2466019067.0,1550684657.0,807264047.0,203,2163881,1069449,1094432,134612,604883,528835,334062,243355,318133,455932,357174,275101,302222,456672,316779,272212,268884,280624,285787,319558,392204,344611,5839.0,63.0,5.0,6.0,,,3.0,,,,,114682,744240,490246,637296,1059433,507865
6,2130318,87002,52599.0,34403.0,9283.0,9474.0,10836.0,10770.0,12236.0,19155.0,15248.0,3966.0,,17211.0,16143.0,35242.0,14440.0,37745.0,49257.0,3375.0,37056.0,17879.0,13666.0,11556.0,3470.0,3496880376,2071424810,1425455566,350435876,361985503,416733206,417236624,525033601,802004737,623450829,263607173.0,,565713748.0,565822837.0,1332612446.0,769124172.0,1578898053,1917982323,95488298.0,1506571216.0,776862153.0,544152204.0,432298818.0,141507687.0,8,385128,180166,204963,30475,84569,75600,57796,59552,77136,57463,61834,57919,66525,91738,49649,49423,50126,51101,50974,56480,65310,61714,266.0,37.0,1.0,1.0,,,,,,,,103606,626015,367926,454100,682044,296793
7,2130312,843,457.0,272.0,59.0,84.0,109.0,51.0,154.0,153.0,119.0,247.0,114.0,93.0,50.0,144.0,195.0,424.0,296.0,,50.0,179.0,135.0,256.0,101.0,43397885,21658262,14876502,2991903,2745401,3691596,2465016,9764346,6584389,8292113,6686888.0,6863121.0,4879207.0,1490021.0,10393729.0,13084919.0,20014918,15706644,,1584895.0,9577986.0,9162916.0,10076074.0,5319691.0,4,327946,154588,173358,54324,40469,66223,58018,46285,62627,66788,62148,44785,46515,66007,41702,47323,46764,46595,46320,46855,47227,46862,619.0,9.0,,,,,,,,,,88812,1106620,525381,648744,1005232,389965
8,2130311,986,736.0,250.0,205.0,137.0,129.0,137.0,128.0,93.0,157.0,,21.0,213.0,159.0,585.0,8.0,432.0,530.0,,91.0,259.0,332.0,192.0,89.0,12000000,8974817,3025183,2498666,1784370,1480301,1603684,1607796,1085137,1940046,,235657.0,2550525.0,1828281.0,7284388.0,101149.0,5397177,6388562,,1147858.0,3068669.0,4150417.0,2376667.0,1042128.0,4,837553,401481,436073,146388,125124,144480,147874,115496,158191,195851,152733,98986,109791,168759,111430,117275,117353,118593,117097,119719,128694,118821,377.0,17.0,,2.0,,,,,,,,100941,1504534,833482,1016695,1642163,701290
9,2130310,3846,3211.0,630.0,731.0,635.0,736.0,534.0,575.0,630.0,630.0,,,1214.0,685.0,1942.0,5.0,1608.0,2155.0,345.0,876.0,582.0,867.0,871.0,223.0,48957581,39533906,9389425,9713199,7488341,9393764,6073147,6865455,9389425,9389425,,,15126469.0,8198679.0,25598183.0,34250.0,20088365,27090974,3548814.0,8744288.0,7621553.0,14611986.0,10020592.0,2632106.0,2,209176,94266,114910,50557,20526,22009,35826,32467,47792,23792,41123,37885,40863,46809,18706,29521,30416,30581,30070,30707,29533,28348,298.0,30.0,,3.0,,,,,,,,14393,405469,202457,268708,347349,141397
